"","15C_R1_lower","15C_R1_upper","15C_R2_lower","15C_R2_upper","15C_R3_lower","15C_R3_upper","No Treatment_R1_lower","No Treatment_R1_upper","No Treatment_R2_lower","No Treatment_R2_upper","No Treatment_R3_lower","No Treatment_R3_upper"
"RCK2FGR15",0.869258007490315,0.00483592771900036,0.905467156707709,0.00613460133270806,0.987713678005341,0.0164618946334224,0.815078223783387,0.847629271059081,0.978605777567133,0.781584149259597,1.0110209018101,0.564426994120643
"RCK2HOG1",1.21986276711784,1.20656396589059,1.04656298735999,0.873567229777627,1.11823298545605,1.29813797680702,0.739559794103776,0.955698748014386,1.11385494815448,0.879769845214838,1.04877957039026,0.921181311050414
"RCK2SSN3",0.458204151375284,0.631088567329547,0.458868179686563,0.637998538601638,0.331589591901793,0.926569497938344,0.67836382522547,0.958302831796442,0.848558498156219,0.942192539332077,0.817670478218601,0.983678417665849
"RCK2EFH1",0.0955095724502571,1.41088191201836,0.101834382122954,1.50911192784618,0.266917862984777,0.657299935720221,0.645812777949776,0.83070272647572,0.844657079773891,0.99941334227288,0.833945766399704,0.998651682792463
"TPK2",0.910363393101818,0.910363393101818,0.711613754594135,0.711613754594135,1.20407000747318,1.20407000747318,0.800755762982081,0.800755762982081,0.957147976464332,0.957147976464332,0.998000671265219,0.998000671265219
"TPK2CAT1",0.916408302750568,0.0386874217520029,1.18029729641303,0.0932459402571625,1.38515084844082,0.110529863967264,0.793594532581428,0.919241575065608,0.977305304773024,0.927887338596877,1.01036989028286,0.947872783667423
"TPK2TYE7",0.187392199111264,0.744732868726055,0.485860425550478,1.30544316360027,0.680816928053681,0.971251783371919,0.759741443414706,0.975229376379803,0.946093957714405,0.951946085287896,0.959590991157817,0.973262233229943
"TPK2YAK1",0.687910718027801,0.985320272746323,1.06373987109158,1.10913592095362,1.11470543660603,1.05003370768901,0.721982228574901,0.943980370995136,0.91423237425873,0.947394430508514,0.91727524188695,0.952429864358132
"TPK2HSP30",1.05060529695283,0.622625693821296,0.981536213233289,1.12017820335249,1.31930326990713,0.85131512247127,0.790990448799373,0.926402805466261,0.977955541170079,0.928537574993931,0.96479908337577,0.932899518540808
"TPK2PDE2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TPK2TPS2",0.498100555057037,1.26701306237809,0.401202927159107,1.16066657214836,0.674937679970316,1.11235373737268,0.858045606187303,1.03837840809465,1.04818107205197,1.02152137977274,1.02143708624601,1.04031642053609
"TPK2MSN4",0.690328681887301,1.46891304464636,1.10545516015399,1.68578844622817,1.04297860998897,1.26168663869016,0.816380265674414,0.994760004745219,0.995511923890552,0.994211451096443,1.03250428220916,1.0006047173742
"TPK2PTC1",0.866840043630814,1.21865378518809,0.652721581800137,1.44653899425256,1.20407000747318,1.10882618852266,0.793594532581428,0.9797865229984,0.979906250361242,0.985758377934734,0.990839544465534,0.986282463774825
"TPK2TPK1",1.02884362221733,1.34801485167135,1.14226276815024,1.3091239243999,1.34399611185727,0.887766460588134,0.800104742036567,0.970021208815692,0.982507195949461,1.0091668882287,0.992792579047266,0.968705152539234
"TPK2C1_12120W_A",1.27789389974585,0.067702988066005,1.19256649907845,0.0981536213233289,1.23346624789,0.515022132102785,0.789037385962831,0.984994690562511,0.927237102199822,0.80889407793589,0.998000671265219,0.901650965233091
"TPK2SSK1",0.94058794134557,1.05060529695283,0.70793299379451,0.412245209557982,0.631431244153414,0.985361978771995,0.79554759541797,1.05400291078698,0.997462633081716,0.977305304773024,0.981725383084116,0.998651682792463
"TPK2FGR15",0.650432278205548,NA,0.398749086626024,NA,0.911283452921594,NA,0.788386365017317,NA,0.957147976464332,NA,0.983027406138605,NA
"TPK2HOG1",0.785838254337558,0.454577205586034,0.850255744713337,0.657629262866304,0.784291694320908,0.863073618638,0.796198616363484,1.03186819863951,1.01371854300808,0.881720554406002,0.424459515763159,0.966101106430258
"TPK2SSN3",1.09775559221308,1.19205618273359,0.699344551928719,1.3974621835909,0.36921677963533,1.20171830823983,0.794896574472456,0.983692648671483,0.977305304773024,0.972753649993642,0.988235498356558,0.991490555992778
"TPK2EFH1",1.25613222501034,NA,0.982763133499831,NA,0.965372535288553,NA,0.776667987998067,NA,0.963000104037824,NA,0.982376394611361,NA
"TPK2RCK2",0.460622115234784,0.0471502952602535,1.08950519668895,0.0196307242646658,1.27814853332358,0.0905404204838229,0.837212935930859,0.720680186683873,1.00721617903753,0.926586865802767,0.983027406138605,0.943966714503958
"GCN4",0.515026302073538,0.515026302073538,1.25882019347169,1.25882019347169,0.502087786319382,0.502087786319382,0.755835317741623,0.755835317741623,0.923335683817494,0.923335683817494,0.942013679922226,0.942013679922226
"GCN4CAT1",1.06632206203958,0.744732868726055,1.08950519668895,1.25145867187244,1.28990702949031,1.05003370768901,0.809870056219275,1.05790903646007,1.00266452425815,1.01436877940513,1.01362494791908,1.04031642053609
"GCN4TYE7",0.321589193313524,0.469084988743035,0.972947771367498,0.732471399125342,0.945383091805112,0.767829799687485,0.731096521812095,0.945282412886164,0.889523391170657,0.985108141537679,0.903603999814823,0.817019466691357
"GCN4YAK1",0.515026302073538,0.903109501523317,0.709159914061051,1.02815918336187,0.553825169452995,1.06179220385574,0.712216914392192,0.925100763575234,0.908380246685239,0.91423237425873,0.90946310356002,0.921181311050414
"GCN4HSP30",1.22469869483684,0.722971193990554,1.34225077159652,1.02570534282879,1.48274636662468,0.417426613918924,0.788386365017317,0.940725266267567,1.02282185256684,0.931788756979204,0.990839544465534,0.903603999814823
"GCN4PDE2",NA,0.420725711553031,NA,0.52512187407981,NA,0.298665802634948,NA,0.774063904216012,NA,0.840755661391564,NA,0.866496342761909
"GCN4TPS2",0.013298801227251,0.552504741895791,0.235568691175989,0.877247990577252,0.315127697268371,0.716092416553872,0.721982228574901,0.940074245322053,0.960399158449605,0.931138520582149,0.89514084996065,0.923134345632147
