Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
C7_00810W_A,C2_10540W_A,0.01288999240134401,0.07754249235280163,0.5194420539135509,0.6688141154011293,0.046821108394521124,0.13974849910120427,0.14160746178345868,0.34331985135689363,0.0
C7_00810W_A,GCN4,0.0026068557021684323,0.02745792700750413,0.7127243798982972,0.8288720566224641,0.0013485146453976367,0.017807265610520574,0.2152295442057792,0.4233558031242389,0.0
C7_00810W_A,RCK2,0.006373514490044988,0.052202118680368476,0.2590472438623962,0.43420374327113387,0.0018082820606839512,0.01963995238131736,0.3183810560973508,0.5060136251573896,0.0
C7_00810W_A,EFH1,0.002363854767238018,0.02653344670303317,0.18670509696133084,0.3633805812759786,0.05764822050479804,0.1598613774281988,0.042054502913942415,0.18888274043507824,0.0
C7_00810W_A,HOG1,0.16479451098826484,0.3347794002753727,0.6687052194236138,0.7953539352235407,0.13598036520364676,0.26320951878527665,0.3989614326970862,0.5674964531920368,0.0
C7_00810W_A,FGR15,0.014905537704562235,0.08360062451689253,,,,,0.014905537704562235,0.10451412319904815,0.0
C7_00810W_A,SSK1,0.02255752544190356,0.10121463589584553,0.027832391646904153,0.1236703440159609,0.7054714917300059,0.7926418197311274,0.006825692681432086,0.07675684600251931,0.0
C7_00810W_A,C1_12120W_A,0.020701770872387844,0.09537601580492971,0.033053935693046224,0.14025588929211505,0.4231020693736995,0.5626969698133215,0.004388174601286763,0.057655109705318584,0.0
C7_00810W_A,TPK1,0.006028211919484347,0.050170279846031014,0.03676326261605632,0.14674149739120787,0.07739425884890176,0.18679725438222586,0.016103902684541087,0.10906734090893735,0.0
C7_00810W_A,MSN4,0.4639151239620088,0.6436215050104136,0.7329313583819301,0.8378899752375949,0.6136854611389148,0.7306166513149298,0.4997846639106309,0.6475470862842088,0.0
C7_00810W_A,TPS2,0.0005002599043617125,0.016103282839077016,0.45902588941726863,0.6109175476449061,0.0004958110216370049,0.011403653497651113,0.17890608217898088,0.39539809618158495,0.0
C7_00810W_A,PDE2,0.22593132214392014,0.4090546043026765,,,,,0.22593132214392014,0.42747640634214734,0.0
C7_00810W_A,HSP30,0.030594467899918744,0.12333394872154743,0.17021734798829485,0.34115902511696544,0.26808880231908794,0.4209747859709373,0.04607307440965881,0.1948367508032592,0.0
C7_00810W_A,YAK1,0.06164722309059646,0.1849416692717894,0.15760618584747269,0.3284500196196203,0.68721905304027,0.7788638527136368,0.05320759653950448,0.21283038615801791,0.0
C7_00810W_A,TYE7,0.15073112906827926,0.31235848433426544,0.13601716831408928,0.3050670775044574,0.6133977227440022,0.7306166513149298,0.027982600937865004,0.15143848298618154,0.0
C7_00810W_A,CAT1,0.08338864366497158,0.21514270065562666,0.8424952310357564,0.9053979718734894,0.08432131173678199,0.19825411132528867,0.2619242854024589,0.4604922539819041,0.0
NIK1,C7_00810W_A,0.593026089673272,0.7630959158887988,0.5547006140077522,0.7042156043063376,0.8129670532422563,0.8671032383381857,0.49650056262290965,0.6450565988856717,0.0
NIK1,CIP1,0.7495454978850093,0.8750350156304635,0.4498021464515251,0.6018659402803078,0.6426998826767663,0.7456844336101354,0.47829167069871803,0.6294940698459971,0.0
NIK1,SKN7,0.32701342025632446,0.5224115320503512,0.2810304715161208,0.4533060002879894,0.7750817247491459,0.8484346517806327,0.21377780531979873,0.42251244629717216,0.0
NIK1,PBS2,0.3355217744719179,0.5277980696585196,0.8591467130171135,0.917592067644128,0.12647382224587322,0.25056647079771965,0.6399904015650177,0.7644578716497317,0.0
NIK1,RHB1,0.272891779518501,0.46386612803885374,0.3804151928355596,0.541315878627035,0.005788557513300291,0.03986482236434899,0.8593658371086514,0.9178889586321797,0.0
NIK1,C3_00570C_A,0.7613300365569102,0.8768172103102304,0.8787590229704382,0.9280168157378395,0.33549361790357,0.4701720594992684,0.9074266013046189,0.9422060180793604,0.0
NIK1,C2_10540W_A,0.054783092442144944,0.17132167090998054,0.5891063870493845,0.734045260053598,0.04231012876432056,0.13301723923561926,0.14060395124748098,0.34331985135689363,0.0
NIK1,TPK2,0.20873897564928054,0.39309967677017793,0.3390140053161731,0.5058989129623856,0.9085342339053352,0.9311571043559796,0.1549288617166915,0.3678788907695145,0.0
NIK1,RCK2,0.6552295916560851,0.8166629693104829,0.7763464350058411,0.8682534347642771,0.08594675076076941,0.19884721625716473,0.8965496727327209,0.9347275200068003,0.0
NIK1,EFH1,0.18851275063740827,0.3656863884545213,0.8448365577899232,0.9053979718734894,0.053482170090005283,0.15153281525501497,0.31398728152820854,0.5012434816227607,0.0
NIK1,SSN3,0.7194364551288985,0.8521021357705469,0.07295929934447176,0.22909219994164134,0.03874294853160777,0.1258862006912573,0.20186703002491946,0.42251244629717216,0.0
