Gene_X,Gene_Y,P-value (exp_vs_XY),P-value adj (exp_vs_XY),P-value (exp_vs_YX),P-value adj (exp_vs_YX),P-value (actual_XY_vs_YX),P-value adj (actual_XY_vs_YX),P-value (exp_vs_average_XY_YX),P-value adj (exp_vs_average_XY_YX),Significant
HOG1,PDE2,0.20550193642525,0.8596721745437845,0.32216835476246497,0.5530733404115531,0.1302754893747381,0.3866812723866826,0.8408290406800071,0.9499685313426952,0.0
HOG1,HSP30,0.6701961353549728,0.9885303562766522,0.4260734450002728,0.6563039182209354,0.24507733747638932,0.5001572857549749,0.911408267487648,0.978093152245624,0.0
HOG1,YAK1,0.2862319140006691,0.8639954737453284,0.5044660135093216,0.7028030786497387,0.891820416631902,0.9588745832959548,0.27230450203938084,0.7484021942340532,0.0
HOG1,TYE7,0.4237976114361752,0.9380053799787345,0.9814891220074964,0.9924869060372384,0.46353870285637,0.6498630834162834,0.6532557744392231,0.8864168670204263,0.0
HOG1,CAT1,0.7194629504280792,0.9885303562766522,0.26111129631972135,0.5387486240520833,0.18229528544906845,0.44945216929684123,0.3093469067487451,0.7484021942340532,0.0
SSN3,HOG1,0.2489141761208957,0.8596721745437845,,,,,0.2489141761208957,0.7484021942340532,0.0
SSN3,FGR15,0.24469002737033377,0.8596721745437845,0.15781219850233047,0.4648653914232233,0.2617759973500152,0.5127940770007147,0.18569885998604524,0.725011021974643,0.0
SSN3,SSK1,0.3331433825177457,0.8778063729832665,0.43352381369757415,0.6563039182209354,0.8573460412477432,0.9358815564765441,0.2641831550718113,0.7484021942340532,0.0
SSN3,C1_12120W_A,0.03229656927419463,0.41170250225746646,0.5326197751110849,0.7234751945258904,0.023185026220576516,0.2516176820595887,0.38906900114830156,0.7538211897248343,0.0
SSN3,TPK1,0.17889815593420835,0.8060443092356814,0.002720001016578307,0.14778672190075468,0.0013774490835018439,0.10901973295489054,0.045320659795665075,0.4214821360996852,0.0
SSN3,PTC1,0.3483552571846851,0.8896457337331958,,,,,0.3483552571846851,0.7484021942340532,0.0
SSN3,MSN4,0.15739919048722992,0.7917656248751566,0.7492557604802892,0.8661609145977811,0.09571672676700696,0.3866812723866826,0.4147626440852261,0.7545821700816334,0.0
SSN3,TPS2,0.022124754913215677,0.36727093155938023,0.3825622200077367,0.6128367842453422,0.06015371945704296,0.38288278463050707,0.770937996108736,0.9499685313426952,0.0
SSN3,HSP30,0.29869098453233034,0.8639954737453284,0.8428569389673248,0.9323597080331874,0.1225450981432052,0.3866812723866826,0.38141529070645236,0.7508388421506381,0.0
SSN3,YAK1,0.7947417051381505,0.9885303562766522,0.029357328527122768,0.3893025964594373,0.008032503761570947,0.12762755976718282,0.3367841873192733,0.7484021942340532,0.0
SSN3,TYE7,0.2641161500104398,0.8596721745437845,0.22285031488122337,0.5173666897652088,0.11272070374612264,0.3866812723866826,0.6356785418175971,0.8864168670204263,0.0
SSN3,CAT1,0.8806689604304532,0.9885303562766522,0.973098309641273,0.9924869060372384,0.8839668189727301,0.957630720553791,0.9498478157178127,0.9843602227544886,0.0
EFH1,SSN3,0.6041231317269475,0.9885303562766522,0.41632087521883154,0.6525029101987456,0.7968598755613384,0.8833407922889256,0.36142718831568826,0.7484021942340532,0.0
EFH1,HOG1,0.7666043778760178,0.9885303562766522,0.24961748582675017,0.5284110414254581,0.11727680724356639,0.3866812723866826,0.3143152316923048,0.7484021942340532,0.0
EFH1,FGR15,0.7361109544159521,0.9885303562766522,0.6825632399234156,0.82764891959618,0.9830077355455079,0.9899303252324481,0.6245452330034691,0.8864168670204263,0.0
EFH1,SSK1,0.6647368976073866,0.9885303562766522,0.7891521346428486,0.8995230625649253,0.9141889397675202,0.9593952282394922,0.648822993729251,0.8864168670204263,0.0
EFH1,C1_12120W_A,0.8872953197904889,0.9885303562766522,0.30606571018377804,0.5530733404115531,0.24909987186263424,0.5001572857549749,0.649788339446011,0.8864168670204263,0.0
EFH1,TPK1,0.03859923486570865,0.42716486584717567,0.086030128293246,0.4131309645236796,0.004190688602356876,0.10901973295489054,0.647555995062409,0.8864168670204263,0.0
EFH1,PTC1,0.9979262013396901,0.9979262013396901,0.9190263632549734,0.9664599820036173,0.9191408829986744,0.9593952282394922,0.9567607797466295,0.9843602227544886,0.0
EFH1,MSN4,0.3956321544102129,0.9255943191635064,0.8246205638639019,0.9206380267795616,0.21877041003158681,0.4965741053097923,0.6117871214288151,0.8864168670204263,0.0
EFH1,TPS2,0.06693199157996631,0.4830743740119307,0.005470485825028248,0.17201241442413998,0.09146521175814204,0.3866812723866826,0.005962722274639883,0.15843804901185973,0.0
EFH1,HSP30,0.9920242363884622,0.9979262013396901,0.4388780802827114,0.6563039182209354,0.5101104267550179,0.6754239909811812,0.692693844675824,0.9073313740119948,0.0
EFH1,YAK1,0.8243824375827556,0.9885303562766522,0.0597933932775389,0.4131309645236796,0.08396124687283385,0.3866812723866826,0.47070752520178427,0.7943965359784543,0.0
EFH1,TYE7,0.7608183587133757,0.9885303562766522,0.8230621468933225,0.9206380267795616,0.6349089050124892,0.78949542101553,0.9697121953978267,0.9843602227544886,0.0
EFH1,CAT1,0.8062373637117196,0.9885303562766522,0.133876911448067,0.4648653914232233,0.3078358005129593,0.5502564934169146,0.3515212431199898,0.7484021942340532,0.0
RCK2,EFH1,0.4868801007205306,0.9885303562766522,0.5745845629528915,0.7573982891583839,0.12082050536772655,0.3866812723866826,0.9202489335644313,0.978093152245624,0.0
RCK2,SSN3,0.28084499146742553,0.8639954737453284,0.45198508494300604,0.6637258454568468,0.02862436120575643,0.2728855768282113,0.7726434250701897,0.9499685313426952,0.0
RCK2,HOG1,0.373339718574834,0.900639413043228,0.31151793997305466,0.5530733404115531,0.7009191241613486,0.821755009281689,0.2606357483168735,0.7484021942340532,0.0
RCK2,FGR15,0.8233809453054881,0.9885303562766522,0.09198021433955124,0.416465970481857,0.12401487503353907,0.3866812723866826,0.27351175488952406,0.7484021942340532,0.0
RCK2,SSK1,0.3400961560855829,0.8821244048469806,0.43623812829232883,0.6563039182209354,0.9156267321166214,0.9593952282394922,0.23350527927701026,0.7484021942340532,0.0
RCK2,C1_12120W_A,0.21955336011665663,0.8596721745437845,,,,,0.21955336011665663,0.7298345860424613,0.0
RCK2,TPK1,0.9833842433567936,0.9979262013396901,0.12894645588113396,0.4648653914232233,0.15134487189303683,0.40078364223526425,0.44053519434623256,0.7694007970624728,0.0
RCK2,PTC1,0.5193294353958159,0.9885303562766522,,,,,0.5193294353958159,0.8042999624050227,0.0
RCK2,MSN4,0.5611023603617968,0.9885303562766522,0.7038969645671839,0.8436412148856689,0.31589519238029784,0.5576915124738592,0.8028817325980331,0.9499685313426952,0.0
RCK2,TPS2,0.7736996173649644,0.9885303562766522,0.08558233749663002,0.4131309645236796,0.24400336018473512,0.5001572857549749,0.2890875343694746,0.7484021942340532,0.0
RCK2,PDE2,0.29105979187000813,0.8639954737453284,0.10279366983977879,0.4308688746430104,0.10999155392934779,0.3866812723866826,0.7922478937167213,0.9499685313426952,0.0
RCK2,YAK1,0.878728407519125,0.9885303562766522,0.11093642357696397,0.44893775780939255,0.23451788773979523,0.5001572857549749,0.3720603306993108,0.7484021942340532,0.0
RCK2,TYE7,0.8829435409871399,0.9885303562766522,0.23560923763116923,0.5173666897652088,0.41305658742245555,0.6061230892387334,0.4835062712950774,0.7960188339407014,0.0
TPK2,RCK2,0.4905538600230787,0.9885303562766522,0.933543475216107,0.9692202959250028,0.4273584086401882,0.6111225243554692,0.6077186516896673,0.8864168670204263,0.0
TPK2,EFH1,0.7720341136540774,0.9885303562766522,,,,,0.7720341136540774,0.9499685313426952,0.0
TPK2,SSN3,0.817739714656514,0.9885303562766522,0.3265191100534312,0.5544022389448884,0.37690768977627503,0.5789213620261789,0.4426122864821752,0.7694007970624728,0.0
TPK2,HOG1,0.6754676400680724,0.9885303562766522,0.2116185040255218,0.5173666897652088,0.29211226671064183,0.5396139292787885,0.8796256031668597,0.9746201426114376,0.0
TPK2,FGR15,0.6310193545071145,0.9885303562766522,,,,,0.6310193545071145,0.8864168670204263,0.0
TPK2,SSK1,0.3325002584287137,0.8778063729832665,0.1576949419536737,0.4648653914232233,0.28360399927709284,0.5396139292787885,0.08665857796247389,0.5432497326616718,0.0
TPK2,C1_12120W_A,0.6500493244027328,0.9885303562766522,0.576180293592881,0.7573982891583839,0.9413054732721581,0.9728608256961232,0.5095453318248473,0.8042999624050227,0.0
TPK2,TPK1,0.5338396208776987,0.9885303562766522,0.10095258342324742,0.4308688746430104,0.41962367716527693,0.6061230892387334,0.18434076499152588,0.725011021974643,0.0
TPK2,PTC1,0.8376600155168799,0.9885303562766522,0.2356011652822116,0.5173666897652088,0.3843651952154411,0.5789213620261789,0.4327185415212761,0.766529987837689,0.0
TPK2,MSN4,0.8045409355778719,0.9885303562766522,0.6361655402728128,0.8119971132904589,0.5086992105613963,0.6754239909811812,0.9735762377945747,0.9843602227544886,0.0
TPK2,TPS2,0.06357767502715102,0.4830743740119307,0.008442327088301348,0.17201241442413998,0.39005511060929676,0.5810195918450983,0.004209200821206321,0.13048522545739594,0.0
TPK2,HSP30,0.9678733361581093,0.9979262013396901,0.7250926684355774,0.8502885248561088,0.7797349583849782,0.8711101488207178,0.8247914733049795,0.9499685313426952,0.0
TPK2,YAK1,0.8099538340230877,0.9885303562766522,0.22958876046440743,0.5173666897652088,0.20873521960745775,0.4850804685254288,0.6833893139074262,0.9044335285547309,0.0
TPK2,TYE7,0.8429887497850854,0.9885303562766522,0.3526999674925681,0.5866336194009041,0.2940037840477277,0.5396139292787885,0.7446696804467166,0.9499685313426952,0.0
TPK2,CAT1,0.8586823103892572,0.9885303562766522,0.7206957841859856,0.8502885248561088,0.9495310526785166,0.9728608256961232,0.7519584807954112,0.9499685313426952,0.0
GCN4,TPK2,0.2636927058330171,0.8596721745437845,,,,,0.2636927058330171,0.7484021942340532,0.0
GCN4,RCK2,0.3083757205231934,0.8639954737453284,0.4116131867173926,0.6513878585916019,0.767591009108219,0.8642953882084671,0.2065539618702588,0.7298345860424613,0.0
GCN4,EFH1,0.25610587898644155,0.8596721745437845,0.8465597349012989,0.9323597080331874,0.3256185928862629,0.5610055275028385,0.421916912303709,0.7545821700816334,0.0
GCN4,SSN3,0.9226777224561675,0.9957692967665555,0.21367101781061282,0.5173666897652088,0.36943273341989424,0.5789213620261789,0.49363205659112863,0.8042999624050227,0.0
GCN4,HOG1,0.17973215982339924,0.8060443092356814,,,,,0.17973215982339924,0.725011021974643,0.0
GCN4,FGR15,0.7995573117760941,0.9885303562766522,,,,,0.7995573117760941,0.9499685313426952,0.0
GCN4,SSK1,0.24626044759263804,0.8596721745437845,0.20657144670403813,0.5173666897652088,0.6620556730324929,0.8022627920305373,0.1011223213647896,0.5699621749651778,0.0
GCN4,C1_12120W_A,0.5870677269007047,0.9885303562766522,0.11292299429561407,0.44893775780939255,0.07304968988511927,0.3866812723866826,0.679527270950759,0.9044335285547309,0.0
GCN4,TPK1,0.8655434946776486,0.9885303562766522,0.05903548642513984,0.4131309645236796,0.5264898029408187,0.6876072901261844,0.4836028399747272,0.7960188339407014,0.0
